nom_client,id_neobrain_client,id_neobrain_competence,code_competence,nom_competence,referentiel_competence,type_referentiel_competence,type_referentiel_competence_detaille,groupe_competence,type_groupe_competence,date_mise_a_jour,maitrise_moyenne,motivation_moyenne,maitrise_moyenne_note_manager,nb_collaborateurs_actifs,nb_collaborateur_a_reskiller,nb_metier_possedant_ce_metier,categorie_detention,gamme_detention,description_niveau_1,description_niveau_2,description_niveau_3,description_niveau_4
OPT - NC,620,21967672,COMP501,Ecouter,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:36,3.46,3.48,,194.0,63.0,6.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967405,COMP234,Contrôle du respect des engagements contractuels avec les prestataires,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:11,3.67,3.5,,9.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967271,COMP100,"Hygiène, sécurité et conditions de travail",OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-03-23 06:49:17,3.23,3.26,,326.0,15.0,16.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967628,COMP457,"Analyser un projet, une démarche",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:31,2.78,3.0,,45.0,7.0,6.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967318,COMP147,Procédures douanières,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:06,3.0,3.0,,2.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967690,COMP519,Gérer un budget,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:38,2.88,2.79,,44.0,8.0,7.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967481,COMP310,Connaissance des protocoles et architectures de réseaux.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:17,2.0,2.0,,1.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967182,COMP11,Anglais technique lu et écrit,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,2.54,2.89,,127.0,4.0,18.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967561,COMP390,Système d'exploitation i5/OS,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:24,,2.0,,1.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967646,COMP475,Communiquer dans un contexte de crise,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:33,,,,,,,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967641,COMP470,Assurer une maîtrise d'ouvrage,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:33,2.82,3.0,,27.0,8.0,4.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967685,COMP514,Fixer un objectif,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:38,,,,,,,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,22020766,COMP613,Connaissance des intervenants et sous-traitants relevant de son domaine d'expertise,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-04 22:15:57,3.2,3.27,,17.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967239,COMP68,PostgreSQL,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-11-18 23:34:23,,,,1.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967582,COMP411,"Connaissance des sources d'information de veille, sur les tendances d'usage des utilisateurs finaux",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:26,4.0,3.5,,3.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967277,COMP106,"Technologies en matière d'électricité, de climatisation, d'énergie renouvelable ;",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:04,1.0,3.0,,2.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967639,COMP468,Assister,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,3.29,3.17,,32.0,3.0,2.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967410,COMP239,"Connaissances des outils de Business Intelligence (Power bi, Tableur)",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:11,3.0,4.0,,3.0,2.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967666,COMP495,Détecter,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:36,3.0,3.33,,3.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967622,COMP451,"Accueillir une personne, un groupe, du public",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:31,2.89,2.9,,65.0,4.0,2.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967177,COMP6,"Analyse, urbanisation, modélisation, architectures logicielles, SGBDR, BI,",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,2.33,2.33,,14.0,1.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967188,COMP17,Technologies de virtualisation et de programmation réseau,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,,,,3.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967695,COMP524,Innover,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2026-03-16 23:16:37,2.86,3.19,,24.0,3.0,3.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967492,COMP321,Elaboration des phases de tests et recettes,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:18,3.33,3.0,,4.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967636,COMP465,Arbitrer,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,2.9,2.97,,44.0,10.0,4.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967776,COMP605,"Adaptabilité - Aptitude à ajuster ses méthodes et comportements face aux changements ou aux imprévus, en maintenant efficacité et motivation",OPT-NC 2025,Customer,OPT - NC,Manager,,2025-09-03 13:38:50,2.42,3.4,,90.0,75.0,4.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967566,COMP395,Architecture des réseaux d'entreprise,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:25,,1.0,,1.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967668,COMP497,Dialoguer,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:36,3.19,3.38,,21.0,5.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967292,COMP121,Management/Pilotage,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:04,2.9,3.0,,64.0,4.0,3.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967530,COMP359,Santé/Social,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:21,3.0,3.0,,2.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967642,COMP471,Auditer,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:33,4.0,4.0,,5.0,0.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967693,COMP522,"Gérer une situation de crise, d'urgence ou dangereuse",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:39,3.14,3.09,,41.0,3.0,5.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967728,COMP557,Reformuler une demande,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:43,3.22,3.34,,180.0,16.0,2.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967267,COMP96,Techniques d'accueil de la clientèle,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-26 22:40:36,3.35,3.4,,225.0,19.0,2.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967272,COMP101,Règles de raccordement postale et d'adressage,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:03,3.14,3.4,,47.0,4.0,2.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967522,COMP351,Processus métier,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-04-07 23:22:50,2.6,2.8,,7.0,3.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967732,COMP561,"Retranscrire un besoin, un concept, une information, une donnée",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:44,3.14,3.43,,7.0,2.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967444,COMP273,Techniques de diagnostic et d'inventaire.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:14,2.75,3.25,,4.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967186,COMP15,Sécurité des réseaux,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,,,,3.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967529,COMP358,Fonctionnement de la collectivité et statuts de la fonction publique,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:21,2.0,2.0,,2.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967713,COMP542,Piloter un prestataire,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:41,2.67,3.0,,9.0,1.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967600,COMP429,"Maitriser les systèmes d'exploitation Windows, Unix, Linux et les outils bureautiques",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:28,2.74,3.12,,96.0,4.0,1.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967221,COMP50,Connaissance de la chaîne d'approvisionnment,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:02,,,,,,1.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967678,COMP507,Encadrer un groupe,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:37,3.14,3.83,,19.0,1.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967634,COMP463,"Anticiper un risque, une évolution",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:32,2.96,3.41,,125.0,22.0,19.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967681,COMP510,Expertiser,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:37,3.33,3.34,,61.0,13.0,8.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967749,COMP578,Esprit d'initiative,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-11-25 03:55:14,3.27,3.43,,464.0,27.0,40.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967609,COMP438,Connaissance d'un outil de gestion des tickets.,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-03 23:56:21,4.0,4.0,,5.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967761,COMP590,Faire preuve d'autorité,OPT-NC 2025,Customer,OPT - NC,Savoir être,,2025-09-03 13:38:48,,,,,,,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967746,COMP575,"Valoriser une action, une production",OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:46,2.5,3.5,,9.0,4.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967211,COMP40,Connaissance de la réglementation LCB-FT,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:01,2.67,3.67,,5.0,3.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967298,COMP127,Techniques d'animation,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-03-17 05:23:27,3.14,3.71,,20.0,1.0,3.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967612,COMP441,Connaissance de premier niveau en réseau informatique,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-03 23:44:46,4.0,3.67,,5.0,0.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967324,COMP153,Connaissance en méthode d'ingénierie de formation et de gestion de projet,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:06,3.0,3.43,,10.0,4.0,2.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967659,COMP488,Convaincre,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:35,2.82,2.79,,56.0,10.0,5.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967224,COMP53,Notion des régles des contrats publics,OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:02,,,,,,1.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967232,COMP61,Connaissance de l'organisation du fonctionnement et des processus de l'OPT-NC,OPT-NC 2025,Customer,OPT - NC,Savoir,,2026-02-25 04:15:39,2.87,3.11,,591.0,65.0,26.0,Well held,d. 101+,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967451,COMP280,"Techniques du bâtiment de second d'oeuvre : maçonnerie, plâtrerie, électricité, menuiserie, plomberie, soudure, peinture ...",OPT-NC 2025,Customer,OPT - NC,Savoir,,2025-09-03 13:38:15,1.67,2.67,,3.0,3.0,1.0,Poorly held,b. 1-25,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
OPT - NC,620,21967731,COMP560,Résoudre un problème,OPT-NC 2025,Customer,OPT - NC,savoir faire,,2025-09-03 13:38:44,3.12,3.32,,93.0,6.0,5.0,Moderately held,c. 26-100,"Compétence élémentaire, peu ou pas d'expérience","maîtrise des fondamentaux, mobilisation partielle de la compétence","Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale","Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
